"Tree_ID","Address","Tree_Species","Species_Desc","Common_Name","Age_Desc","Height","Spread","Trunk","Actual_Trunk_cm","Condition","Lat","Long"
4032,"Glen Ellan Avenue, Swords","SOAU","Sorbus aucuparia","Rowan (Mountain Ash)","Young","10 metres","3 to 6 metres","11cm to 20cm",15,"Good",53.4673500921,-6.2279289783
4072,"Glen Ellan Avenue, Swords","ACPL","Acer platanoides","Norway Maple","Semi-Mature","10 metres","3 to 6 metres","11cm to 20cm",17,"Fair to Good",53.4674688174,-6.2281907357
32404,"Greenlawns, Skerries","SOAU","Sorbus aucuparia","Rowan (Mountain Ash)","Semi-Mature","10 metres","3 to 6 metres","11cm to 20cm",17,"Good",53.5742243148,-6.1137694985
47024,"Castle Downs Croft, Malahide","","","",""," 15 metres","3 to 6 metres","21cm to 30cm",23,"Fair",53.4530403678,-6.1807405937
48092,"Seabury Drive, Malahide","ACPL","Acer platanoides","Norway Maple","Semi-Mature","10 metres","3 to 6 metres","11cm to 20cm",18,"Good",53.4540395049,-6.1769734115
16276,"Swords Manor Crescent, Swords","ACPL","Acer platanoides","Norway Maple","Semi-Mature","10 metres","3 to 6 metres","21cm to 30cm",30,"Fair",53.4625240509,-6.2438617714
17400,"Valley View, Swords","ACPL","Acer platanoides","Norway Maple","Semi-Mature","10 metres","3 to 6 metres","21cm to 30cm",27,"Fair to Good",53.4612384501,-6.2412442842
804,"Turvey Park, Donabate","SOIN","Sorbus intermedia","Swedish Whitebeam","","10 metres","6 to 9 metres","31cm to 40cm",32,"Fair to Good",53.4872117425,-6.154988566
872,"Turvey Park, Donabate","SOIN","Sorbus intermedia","Swedish Whitebeam","","10 metres","6 to 9 metres","11cm to 20cm",19,"Good",53.4886436088,-6.1542915965
2012,"Beverton Green, Donabate","SOAU","Sorbus aucuparia","Rowan (Mountain Ash)","Semi-Mature","10 metres","3 to 6 metres","11cm to 20cm",13,"Good",53.4907838098,-6.1565130633
2020,"Beverton Green, Donabate","SOAU","Sorbus aucuparia","Rowan (Mountain Ash)","Young","10 metres","Up to 3 metres","1cm - 10cm",10,"Fair to Good",53.4911305165,-6.1563572804
32544,"Greenlawns, Skerries","BESP","Betula spp.","Birch","Mature","10 metres","6 to 9 metres","21cm to 30cm",27,"Good",53.5730376818,-6.1144802945
207008,"Burrow Court Carrickhill Hts","ACPL","Acer platanoides","Norway Maple","Semi-Mature","10 metres","6 to 9 metres","31cm to 40cm",33,"Fair to Good",53.4292870635,-6.1293376304
137160,"Pinebrook Vale, Blanchardstown","ALIN","Alnus incana","Grey Alder","Mature"," 15 metres","9 to 12 metres","31cm to 40cm",38,"Fair to Good",53.3985675727,-6.4117206177
20820,"Brookdale Park, Swords","ACPL","Acer platanoides","Norway Maple","Young","10 metres","3 to 6 metres","11cm to 20cm",19,"Fair - Poor",53.452641378,-6.2486767662
17600,"Cianlea, Swords","SOAU","Sorbus aucuparia","Rowan (Mountain Ash)","Semi-Mature","10 metres","6 to 9 metres","21cm to 30cm",22,"Fair",53.4664896857,-6.2399312208
17828,"Cianlea, Swords","ACPS","Acer pseudoplatanus","Sycamore","Semi-Mature","10 metres","3 to 6 metres","21cm to 30cm",26,"Fair to Good",53.4663435748,-6.2411085724
42584,"Temple Ville, Balbriggan","ACPS","Acer pseudoplatanus","Sycamore","Young","10 metres","3 to 6 metres","11cm to 20cm",19,"Good",53.6129806219,-6.1944083776
43052,"Lissadel Grove, Malahide","ACPL","Acer platanoides","Norway Maple","Semi-Mature"," 15 metres","6 to 9 metres","21cm to 30cm",26,"Good",53.4528967411,-6.1878719094
43068,"Bayside Boulevard South, Sutton","ACPS","Acer pseudoplatanus","Sycamore","Semi-Mature"," 15 metres","6 to 9 metres","31cm to 40cm",36,"Good",53.3880515192,-6.1391613601
32236,"Millhill Park, Skerries","ACPS","Acer pseudoplatanus","Sycamore","Young","10 metres","3 to 6 metres","11cm to 20cm",16,"Fair to Good",53.5751808842,-6.1113786692
34400,"Shenick Grove, Skerries","ACPL","Acer platanoides","Norway Maple","Mature","10 metres","6 to 9 metres","21cm to 30cm",30,"Good",53.5702552107,-6.105270479
34468,"Shenick Grove, Skerries","ACPL","Acer platanoides","Norway Maple","Mature"," 15 metres","9 to 12 metres","41cm - 50cm",44,"Fair",53.5713130667,-6.1059915848
48604,"Old Yellow Walls Road, Malahide","SOAU","Sorbus aucuparia","Rowan (Mountain Ash)","Young",NA,"Up to 3 metres","1cm - 10cm",8,"Fair",53.4556615614,-6.1802706152
28716,"Ridgewood Park, Swords","TISP","Tilia spp.","Lime","Young",NA,"Up to 3 metres","1cm - 10cm",7,"Good",53.4477331354,-6.2466332545
28728,"Ridgewood Park, Swords","TISP","Tilia spp.","Lime","Young",NA,"Up to 3 metres","1cm - 10cm",9,"Good",53.4476386806,-6.2468466782
26980,"Clonard Court, Balbriggan","ACSA","Acer saccharinum","Silver Maple","Semi-Mature","10 metres","3 to 6 metres","21cm to 30cm",28,"Good",53.6070183575,-6.187556201
27216,"Castleview Row, Swords","ACCA","Acer campestre","Field Maple","Young",NA,"Up to 3 metres","1cm - 10cm",6,"Poor",53.4709051189,-6.2372784495
29132,"Ridgewood Avenue, Forrest Great","TICO","Tilia cordata","Small-Leafed Lime","Young","10 metres","3 to 6 metres","11cm to 20cm",15,"Good",53.4475590413,-6.2475613416
29356,"Ridgewood Avenue, Forrest Great","TICO","Tilia cordata","Small-Leafed Lime","Young",NA,"Up to 3 metres","1cm - 10cm",9,"Good",53.4463090886,-6.2471516251
29388,"Ridgewood Avenue, Forrest Great","TICO","Tilia cordata","Small-Leafed Lime","Young",NA,"Up to 3 metres","1cm - 10cm",6,"Good",53.4457376886,-6.2464860882
